i1	V(vo)	I(I1)
-5.000000000000000e-004	2.444252e+000	-5.000000e-004
-4.950000000000000e-004	2.444565e+000	-4.950000e-004
-4.900000000000000e-004	2.444878e+000	-4.900000e-004
-4.850000000000000e-004	2.445190e+000	-4.850000e-004
-4.800000000000000e-004	2.445503e+000	-4.800000e-004
-4.749999999999999e-004	2.445815e+000	-4.750000e-004
-4.699999999999999e-004	2.446127e+000	-4.700000e-004
-4.649999999999999e-004	2.446440e+000	-4.650000e-004
-4.599999999999999e-004	2.446752e+000	-4.600000e-004
-4.549999999999999e-004	2.447065e+000	-4.550000e-004
-4.499999999999999e-004	2.447377e+000	-4.500000e-004
-4.449999999999999e-004	2.447690e+000	-4.450000e-004
-4.399999999999999e-004	2.448002e+000	-4.400000e-004
-4.349999999999998e-004	2.448314e+000	-4.350000e-004
-4.299999999999998e-004	2.448627e+000	-4.300000e-004
-4.249999999999998e-004	2.448939e+000	-4.250000e-004
-4.199999999999998e-004	2.449251e+000	-4.200000e-004
-4.149999999999998e-004	2.449563e+000	-4.150000e-004
-4.099999999999998e-004	2.449875e+000	-4.100000e-004
-4.049999999999998e-004	2.450187e+000	-4.050000e-004
-3.999999999999998e-004	2.450498e+000	-4.000000e-004
-3.949999999999997e-004	2.450809e+000	-3.950000e-004
-3.899999999999997e-004	2.451119e+000	-3.900000e-004
-3.849999999999997e-004	2.451429e+000	-3.850000e-004
-3.799999999999997e-004	2.451737e+000	-3.800000e-004
-3.749999999999997e-004	2.452043e+000	-3.750000e-004
-3.699999999999997e-004	2.452346e+000	-3.700000e-004
-3.649999999999997e-004	2.452646e+000	-3.650000e-004
-3.599999999999996e-004	2.452940e+000	-3.600000e-004
-3.549999999999996e-004	2.453227e+000	-3.550000e-004
-3.499999999999996e-004	2.453501e+000	-3.500000e-004
-3.449999999999996e-004	2.453750e+000	-3.450000e-004
-3.399999999999996e-004	2.453979e+000	-3.400000e-004
-3.349999999999996e-004	2.454166e+000	-3.350000e-004
-3.299999999999996e-004	2.454290e+000	-3.300000e-004
-3.249999999999996e-004	2.454308e+000	-3.250000e-004
-3.199999999999995e-004	2.454185e+000	-3.200000e-004
-3.149999999999995e-004	2.453985e+000	-3.150000e-004
-3.099999999999995e-004	2.453700e+000	-3.100000e-004
-3.049999999999995e-004	2.453318e+000	-3.050000e-004
-2.999999999999995e-004	2.452826e+000	-3.000000e-004
-2.949999999999995e-004	2.452207e+000	-2.950000e-004
-2.899999999999995e-004	2.451444e+000	-2.900000e-004
-2.849999999999995e-004	2.450519e+000	-2.850000e-004
-2.799999999999994e-004	2.449411e+000	-2.800000e-004
-2.749999999999994e-004	2.448099e+000	-2.750000e-004
-2.699999999999994e-004	2.446557e+000	-2.700000e-004
-2.649999999999994e-004	2.444762e+000	-2.650000e-004
-2.599999999999994e-004	2.442685e+000	-2.600000e-004
-2.549999999999994e-004	2.440297e+000	-2.550000e-004
-2.499999999999994e-004	2.437562e+000	-2.500000e-004
-2.449999999999993e-004	2.434440e+000	-2.450000e-004
-2.399999999999993e-004	2.430878e+000	-2.400000e-004
-2.349999999999993e-004	2.426605e+000	-2.350000e-004
-2.299999999999993e-004	2.421825e+000	-2.300000e-004
-2.249999999999993e-004	2.416180e+000	-2.250000e-004
-2.199999999999993e-004	2.409230e+000	-2.200000e-004
-2.149999999999993e-004	2.399677e+000	-2.150000e-004
-2.099999999999993e-004	2.376866e+000	-2.100000e-004
-2.049999999999992e-004	2.341718e+000	-2.050000e-004
-1.999999999999992e-004	2.306515e+000	-2.000000e-004
-1.949999999999992e-004	2.271255e+000	-1.950000e-004
-1.899999999999992e-004	2.235934e+000	-1.900000e-004
-1.849999999999992e-004	2.200551e+000	-1.850000e-004
-1.799999999999992e-004	2.165100e+000	-1.800000e-004
-1.749999999999992e-004	2.129578e+000	-1.750000e-004
-1.699999999999991e-004	2.093981e+000	-1.700000e-004
-1.649999999999991e-004	2.058304e+000	-1.650000e-004
-1.599999999999991e-004	2.022542e+000	-1.600000e-004
-1.549999999999991e-004	1.986691e+000	-1.550000e-004
-1.499999999999991e-004	1.950743e+000	-1.500000e-004
-1.449999999999991e-004	1.914691e+000	-1.450000e-004
-1.399999999999991e-004	1.878530e+000	-1.400000e-004
-1.349999999999991e-004	1.842250e+000	-1.350000e-004
-1.299999999999990e-004	1.805842e+000	-1.300000e-004
-1.249999999999990e-004	1.769296e+000	-1.250000e-004
-1.199999999999990e-004	1.732600e+000	-1.200000e-004
-1.149999999999990e-004	1.695741e+000	-1.150000e-004
-1.099999999999990e-004	1.658704e+000	-1.100000e-004
-1.049999999999990e-004	1.621472e+000	-1.050000e-004
-9.999999999999903e-005	1.584026e+000	-1.000000e-004
-9.499999999999903e-005	1.546343e+000	-9.500000e-005
-8.999999999999903e-005	1.508395e+000	-9.000000e-005
-8.499999999999903e-005	1.470152e+000	-8.500000e-005
-7.999999999999903e-005	1.431577e+000	-8.000000e-005
-7.499999999999903e-005	1.392624e+000	-7.500000e-005
-6.999999999999903e-005	1.353239e+000	-7.000000e-005
-6.499999999999903e-005	1.313355e+000	-6.500000e-005
-5.999999999999903e-005	1.272888e+000	-6.000000e-005
-5.499999999999903e-005	1.231730e+000	-5.500000e-005
-4.999999999999903e-005	1.189741e+000	-5.000000e-005
-4.499999999999903e-005	1.146735e+000	-4.500000e-005
-3.999999999999903e-005	1.102454e+000	-4.000000e-005
-3.499999999999904e-005	1.056528e+000	-3.500000e-005
-2.999999999999904e-005	1.008401e+000	-3.000000e-005
-2.499999999999904e-005	9.571816e-001	-2.500000e-005
-1.999999999999904e-005	9.013086e-001	-2.000000e-005
-1.499999999999904e-005	8.376767e-001	-1.500000e-005
-9.999999999999037e-006	7.573388e-001	-1.000000e-005
-4.999999999999037e-006	6.264158e-001	-5.000000e-006
9.622294280808852e-019	-7.031094e-013	9.622294e-019
5.000000000000962e-006	-6.264143e-001	5.000000e-006
1.000000000000096e-005	-7.573888e-001	1.000000e-005
